,Activity Period,Operating Airline,Operating Airline IATA Code,GEO Region,Terminal,Boarding Area,Passenger Count,Year,Month,cluster,Activity Period,Operating Airline,GEO Region,Boarding Area,Passenger Count,Year,Month
99,200507,United Airlines - Pre 07/01/2013,UA,Australia / Oceania,International,G,8603,2005,July,0,200507,United Airlines - Pre 07/01/2013,Australia / Oceania,G,8603,2005,July
100,200507,United Airlines - Pre 07/01/2013,UA,Australia / Oceania,International,G,8234,2005,July,0,200507,United Airlines - Pre 07/01/2013,Australia / Oceania,G,8234,2005,July
101,200507,United Airlines - Pre 07/01/2013,UA,Australia / Oceania,International,G,1385,2005,July,0,200507,United Airlines - Pre 07/01/2013,Australia / Oceania,G,1385,2005,July
102,200507,United Airlines - Pre 07/01/2013,UA,Canada,Terminal 3,F,12874,2005,July,0,200507,United Airlines - Pre 07/01/2013,Canada,F,12874,2005,July
103,200507,United Airlines - Pre 07/01/2013,UA,Canada,Terminal 3,F,12085,2005,July,0,200507,United Airlines - Pre 07/01/2013,Canada,F,12085,2005,July
104,200507,United Airlines - Pre 07/01/2013,UA,Canada,Terminal 3,F,10,2005,July,0,200507,United Airlines - Pre 07/01/2013,Canada,F,10,2005,July
105,200507,United Airlines - Pre 07/01/2013,UA,Europe,International,G,30796,2005,July,1,200507,United Airlines - Pre 07/01/2013,Europe,G,30796,2005,July
106,200507,United Airlines - Pre 07/01/2013,UA,Europe,International,G,29283,2005,July,1,200507,United Airlines - Pre 07/01/2013,Europe,G,29283,2005,July
107,200507,United Airlines - Pre 07/01/2013,UA,Europe,International,G,888,2005,July,0,200507,United Airlines - Pre 07/01/2013,Europe,G,888,2005,July
108,200507,United Airlines - Pre 07/01/2013,UA,Mexico,International,G,9537,2005,July,0,200507,United Airlines - Pre 07/01/2013,Mexico,G,9537,2005,July
109,200507,United Airlines - Pre 07/01/2013,UA,Mexico,International,G,9672,2005,July,0,200507,United Airlines - Pre 07/01/2013,Mexico,G,9672,2005,July
110,200507,United Airlines - Pre 07/01/2013,UA,Mexico,International,G,45,2005,July,0,200507,United Airlines - Pre 07/01/2013,Mexico,G,45,2005,July
111,200507,Virgin Atlantic,VS,Europe,International,A,11684,2005,July,0,200507,Virgin Atlantic,Europe,A,11684,2005,July
112,200507,Virgin Atlantic,VS,Europe,International,A,10771,2005,July,0,200507,Virgin Atlantic,Europe,A,10771,2005,July
113,200507,WestJet Airlines,WS,Canada,International,A,2480,2005,July,0,200507,WestJet Airlines,Canada,A,2480,2005,July
114,200507,WestJet Airlines,WS,Canada,International,A,2211,2005,July,0,200507,WestJet Airlines,Canada,A,2211,2005,July
115,200508,ATA Airlines,TZ,US,Terminal 1,B,27472,2005,August,1,200508,ATA Airlines,US,B,27472,2005,August
116,200508,ATA Airlines,TZ,US,Terminal 1,B,26535,2005,August,0,200508,ATA Airlines,US,B,26535,2005,August
117,200508,ATA Airlines,TZ,US,Terminal 1,B,5712,2005,August,0,200508,ATA Airlines,US,B,5712,2005,August
118,200508,Air Canada ,AC,Canada,Terminal 1,B,34878,2005,August,1,200508,Air Canada ,Canada,B,34878,2005,August
119,200508,Air Canada ,AC,Canada,Terminal 1,B,34105,2005,August,1,200508,Air Canada ,Canada,B,34105,2005,August
